name,old time/op (ns/op),±,new time/op (ns/op),±,delta,±
CRC32/poly=IEEE/size=15/align=0-8,4.68700E+01,8%,4.45200E+01,3%,-5.01%,(p=0.008 n=10+10)
CRC32/poly=IEEE/size=15/align=1-8,4.47100E+01,5%,4.45000E+01,4%,~,(p=0.539 n=10+10)
CRC32/poly=IEEE/size=40/align=0-8,4.10375E+01,1%,4.25000E+01,6%,+3.56%,(p=0.000 n=8+10)
CRC32/poly=IEEE/size=40/align=1-8,4.10778E+01,1%,4.20400E+01,3%,+2.34%,(p=0.000 n=9+10)
CRC32/poly=IEEE/size=512/align=0-8,2.38000E+02,5%,5.71200E+01,3%,-76.00%,(p=0.000 n=10+10)
CRC32/poly=IEEE/size=512/align=1-8,2.35500E+02,3%,5.71700E+01,3%,-75.72%,(p=0.000 n=10+10)
CRC32/poly=IEEE/size=1kB/align=0-8,4.52500E+02,4%,9.41125E+01,2%,-79.20%,(p=0.000 n=10+8)
CRC32/poly=IEEE/size=1kB/align=1-8,4.43600E+02,2%,9.32875E+01,2%,-78.97%,(p=0.000 n=10+8)
CRC32/poly=IEEE/size=4kB/align=0-8,1.74000E+03,8%,2.98111E+02,1%,-82.87%,(p=0.000 n=10+9)
CRC32/poly=IEEE/size=4kB/align=1-8,1.76430E+03,6%,2.99100E+02,3%,-83.05%,(p=0.000 n=10+10)
CRC32/poly=IEEE/size=32kB/align=0-8,1.49529E+04,7%,2.15800E+03,3%,-85.57%,(p=0.000 n=10+10)
CRC32/poly=IEEE/size=32kB/align=1-8,1.41888E+04,7%,2.17830E+03,3%,-84.65%,(p=0.000 n=10+10)
CRC32/poly=Castagnoli/size=15/align=0-8,1.63778E+01,3%,1.63000E+01,2%,~,(p=0.615 n=9+9)
CRC32/poly=Castagnoli/size=15/align=1-8,1.72222E+01,2%,1.72900E+01,2%,~,(p=0.650 n=9+10)
CRC32/poly=Castagnoli/size=40/align=0-8,1.74300E+01,2%,1.75300E+01,4%,~,(p=0.694 n=10+10)
CRC32/poly=Castagnoli/size=40/align=1-8,1.97100E+01,3%,1.93900E+01,2%,-1.62%,(p=0.036 n=10+10)
CRC32/poly=Castagnoli/size=512/align=0-8,4.01700E+01,2%,4.01300E+01,4%,~,(p=0.614 n=10+10)
CRC32/poly=Castagnoli/size=512/align=1-8,4.21400E+01,3%,4.19444E+01,2%,~,(p=0.952 n=10+9)
CRC32/poly=Castagnoli/size=1kB/align=0-8,6.55000E+01,1%,6.61625E+01,1%,+1.01%,(p=0.003 n=9+8)
CRC32/poly=Castagnoli/size=1kB/align=1-8,7.00900E+01,6%,6.84667E+01,2%,~,(p=0.190 n=10+9)
CRC32/poly=Castagnoli/size=4kB/align=0-8,1.62800E+02,5%,1.58800E+02,3%,-2.46%,(p=0.032 n=10+10)
CRC32/poly=Castagnoli/size=4kB/align=1-8,1.69400E+02,6%,1.61600E+02,3%,-4.60%,(p=0.005 n=10+10)
CRC32/poly=Castagnoli/size=32kB/align=0-8,1.21822E+03,4%,1.21433E+03,3%,~,(p=0.882 n=9+9)
CRC32/poly=Castagnoli/size=32kB/align=1-8,1.26478E+03,3%,1.22080E+03,4%,-3.48%,(p=0.002 n=9+10)
CRC32/poly=Koopman/size=15/align=0-8,3.65100E+01,11%,3.56000E+01,3%,~,(p=0.216 n=10+10)
